id,polarity,tweet
1467933112,neg,the angel is going to miss the athlete this weekend
2323395086,neg,It looks as though Shaq is getting traded to Cleveland to play w LeBron... Too bad for Suns fans. The Big Cactus is no more 
1467968979,neg,@clarianne APRIL 9TH ISNT COMING SOON ENOUGH 
1990283756,neg,drinking a McDonalds coffee and not understanding why someone would hurt me for no apparent reason. 
1988884918,neg,So dissapointed Taylor Swift doesnt have a Twitter 
1467984364,neg,Wishes I was on the Spring Fling Tour with Dawn &amp neecee Sigh  Gknight
1964951623,neg,got a sniffle got the kids and hubby just left to work in Sydney for the weekend boo hoo 
1881133744,neg,ive only been in sydney for 3 hrs but I miss my friends  especially @ktjade!!!
1753802024,neg,xboxtweet not working again 
1980497384,neg,R.I.P to lebron/kobe puppet commercials... 
1755405128,neg,Allergies sucks sometimes. Theres a super adorable 9 month old beagle named Sydney hanging out with my roomie and his friend. Cant pet. 
1966205498,neg,has a broken iphone 
2206224118,neg,Line at McDonalds was too long so I cant get my sausage biscuit on 
1687790990,neg,@stephnewby there is a virus going around  congestion throw up &amp high fever
1963812485,neg,I scratched my iPod 
1467844505,neg,I dont understand... I really dont 
2258491381,neg,@Rove1974 @Pink is our hero too! Love her! Wanna go see her in Brisvegas again but sadly my bank balance wont let me 
1468039375,neg,I hate the fact that Im genuinely excited about my last tweet 
2212063772,neg,Tulas sick! Nausious Nasal congestion headache bodyaches and my nose is running a marathon. Theraflu please help 
1557163971,neg,Hayfever time  not good!
1975133437,neg,I wish diversity was like one of those musicians with loads of stuff on YouTube but no  #bgt
1932575931,neg,Oh No minus the Cavs lost game 4  Cavs are 1 loss away from triggering a nuclear event that would make the hadron look like tiddlywinks 
1467899025,neg,still sick. feeling a bit better got some new medicine.... hope I feel good after a night of sleep. ohh and its suppose to snow! WTF! 
2324113552,neg,worked on 5 bone marrow cases today! All plus for cancer! 
1468042132,neg,It was a sleepless night 
1467985185,neg,@d_castillo ugh thats disconcerting 
1980282216,neg,forgot about my english coursework &amp my ipod is banjaxed today is just not my day 
2179698078,neg,@TweetRamona too bad its in seattle.. 
1467985259,neg,MY TWEETS ARENT GOING THROUGH 
